,name,trimmed_name
10341,"greene county bancorp, inc",greene county bancorp
10342,merrill lynch preferred capital trust iii,merrill lynch preferred capital trust iii
10343,"first bancorp, inc",first bancorp
10344,"north america frac sand, inc.",north america frac sand
10345,"victoria lake, inc.",victoria lake
10346,ever-glory international group inc.,ever-glory international group
10347,ditech networks inc,ditech networks
10348,"squarespace, inc.",squarespace
10349,endi corp.,endi
10350,volterra semiconductor corp,volterra semiconductor
10351,pall corp,pall
10353,heartland media acquisition corp.,heartland media acquisition
10354,virginia national bankshares corp,virginia national bankshares
10355,"allogene therapeutics, inc.",allogene therapeutics
10356,cdw corp,cdw
10357,can-fite biopharma ltd.,can-fite biopharma
10358,outerwall inc,outerwall
10359,"blackhawk network holdings, inc",blackhawk network holdings
10360,triton acquisition co,triton acquisition
10361,owens corning,owens corning
10362,national energy services reunited corp.,national energy services reunited
10363,coldwater creek inc,coldwater creek
10365,gigamedia ltd,gigamedia
10366,"maiden lane jewelry, ltd.",maiden lane jewelry
10367,"lorillard, inc.",lorillard
10368,"mei pharma, inc.",mei pharma
10369,raytheon technologies corporation,raytheon technologies
10371,anywhere real estate inc.,anywhere real estate
10372,cnh industrial n.v.,cnh industrial n.v.
10373,"origin bancorp, inc.",origin bancorp
10374,rice energy operating llc,rice energy operating
10376,kinnate biopharma inc.,kinnate biopharma
10377,"muscle maker, inc.",muscle maker
10378,biglari holdings inc.,biglari holdings
10379,"first guaranty bancshares, inc.",first guaranty bancshares
10380,united online inc,united online
10381,"gxo logistics, inc.",gxo logistics
10382,valens semiconductor ltd.,valens semiconductor
10385,metals usa holdings corp.,metals usa holdings
10386,tecumseh products co,tecumseh products
10387,"remsleep holdings, inc.",remsleep holdings
10388,"odyssey semiconductor technologies, inc.",odyssey semiconductor technologies
10389,fuels inc,fuels
10390,quarterhill inc.,quarterhill
10391,northland cable properties seven limited partnership,northland cable properties seven limited partnership
10392,"innoviva, inc.",innoviva
10394,gms capital corp.,gms capital
10395,public service electric & gas co,public service electric & gas
10396,kkr & co. inc.,kkr & co.
10397,dp cap acquisition corp i,dp cap acquisition corp i
10398,"pyrotec, inc.",pyrotec
10399,corning inc /ny,corning inc /ny
10400,united security bancshares,united security bancshares
10401,lexmark international inc /ky/,lexmark international inc /ky/
10402,kbridge energy corp.,kbridge energy
10403,"pyxis oncology, inc.",pyxis oncology
10404,kilroy realty corporation,kilroy realty
10405,"steadfast income reit, inc.",steadfast income reit
10406,huntwicke capital group inc.,huntwicke capital group
10407,breitburn energy partners lp,breitburn energy partners
10408,repligen corp,repligen
10409,firstenergy corp.,firstenergy
10410,cars.com inc.,cars.com
10411,"emmaus life sciences, inc.",emmaus life sciences
10412,louisiana bancorp inc,louisiana bancorp
10413,bynordic acquisition corp,bynordic acquisition
10414,"guidewire software, inc.",guidewire software
10415,ecmoho ltd,ecmoho
10416,oasmia pharmaceutical ab,oasmia pharmaceutical ab
10417,"shinhan financial group co., ltd.",shinhan financial group co.
10418,alto group holdings inc.,alto group holdings
10419,social cube inc,social cube
10420,"veritone, inc.",veritone
10421,je cleantech holdings limited,je cleantech holdings limited
10423,artemis acquisition corp.,artemis acquisition
10425,"lead edge growth opportunities, ltd",lead edge growth opportunities
10426,"moneyonmobile, inc.",moneyonmobile
10427,"raven industries, inc.",raven industries
10428,greentree hospitality group ltd.,greentree hospitality group
10429,hydrogenics corp,hydrogenics
10430,"baxano surgical, inc.",baxano surgical
10431,emerge health international inc,emerge health international
10432,apex 2 inc.,apex 2
10433,"greenlight biosciences holdings, pbc","greenlight biosciences holdings, pb"
10434,"hub group, inc.",hub group
10436,"atlas capital holdings, inc.",atlas capital holdings
10437,"energy transfer, lp",energy transfer
10438,harmonic inc.,harmonic
10439,"4d molecular therapeutics, inc.",4d molecular therapeutics
10440,"spirit airlines, inc.",spirit airlines
10441,"heidrick & struggles international, inc.",heidrick & struggles international
10442,qkl stores inc.,qkl stores
10444,wnc housing tax credit fund v lp series 4,wnc housing tax credit fund v lp series 4
10445,taomee holdings ltd,taomee holdings
10446,"gigpeak, inc.",gigpeak
10447,"1life healthcare, inc.",1life healthcare
10448,gold standard mining co,gold standard mining
10449,investcorp india acquisition corp,investcorp india acquisition
10450,"insys therapeutics, inc.",insys therapeutics
10452,"ionq, inc.",ionq
10453,clean energy fuels corp.,clean energy fuels
10454,cohen & co inc.,cohen & co
10455,"twitter, inc.",twitter
10456,enxnet inc,enxnet
10457,clearone inc,clearone
10458,tractor supply co /de/,tractor supply co /de/
10460,"smiledirectclub, inc.",smiledirectclub
10461,farmers national banc corp.,farmers national banc
10463,contango oil & gas co,contango oil & gas
10464,thermodynetics inc,thermodynetics
10465,"choice bancorp, inc.",choice bancorp
10466,giga metals corp,giga metals
10467,iridium communications inc.,iridium communications
10468,atlantic coastal acquisition corp. ii,atlantic coastal acquisition corp. ii
10469,huntsman international llc,huntsman international
10470,biggest little investments lp,biggest little investments
10471,"gibraltar industries, inc.",gibraltar industries
10472,atkore inc.,atkore
10473,"golden ally lifetech group, inc.",golden ally lifetech group
10474,mega matrix corp.,mega matrix
10475,"impinj, inc.",impinj
10476,her imports,her imports
10477,fritzy tech inc.,fritzy tech
10478,"golden gate homes, inc.",golden gate homes
10479,weidai ltd.,weidai
10480,"muliang viagoo technology, inc.",muliang viagoo technology
10481,yaterra ventures corp.,yaterra ventures
10482,"cognition therapeutics, inc.",cognition therapeutics
10483,"innovative solutions and support, inc.",innovative solutions and support
10484,eg acquisition corp.,eg acquisition
10485,"first mid bancshares, inc.",first mid bancshares
10487,independence holding co,independence holding
10488,"tenable holdings, inc.",tenable holdings
10489,"pacific ventures group, inc.",pacific ventures group
10490,bannix acquisition corp.,bannix acquisition
10491,"mj holdings, inc.",mj holdings
10492,"atlas technical consultants, inc.",atlas technical consultants
10493,north state bancorp,north state ban
10494,clever leaves holdings inc.,clever leaves holdings
10495,mind cti ltd,mind cti
10496,latam airlines group s.a.,latam airlines group s.a.
10497,"calyxt, inc.",calyxt
10498,chancellor group inc.,chancellor group
10499,belden inc.,belden
10500,"snyder's-lance, inc.",snyder's-lance
10501,china shouguan investment holding group corp,china shouguan investment holding group
10502,cinedigm corp.,cinedigm
10503,mainland resources inc.,mainland resources
10504,petrocorp inc,petrocorp
10505,"quanta services, inc.",quanta services
10507,scholastic corporation,scholastic
10508,edelman financial group inc.,edelman financial group
10509,fusion pharmaceuticals inc.,fusion pharmaceuticals
10510,"jason industries, inc.",jason industries
10511,trilogy metals inc.,trilogy metals
10512,opal fuels inc.,opal fuels
10513,lubrizol corp,lubrizol
10514,"vortronnix technologies, inc.",vortronnix technologies
10516,"beauty brands group, inc.",beauty brands group
10518,agria corp,agria
10519,just eat takeaway.com n.v.,just eat takeaway.com n.v.
10520,minaro corp.,minaro
10521,"american cannabis company, inc.",american cannabis company
10522,starwood waypoint homes,starwood waypoint homes
10523,"enact holdings, inc.",enact holdings
10525,entravision communications corporation,entravision communications
10526,merit medical systems inc,merit medical systems
10527,arco-iris gold corp,arco-iris gold
10528,conagra brands inc.,conagra brands
10530,"pixelworks, inc",pixelworks
10531,"montavo, inc.",montavo
10532,stratim cloud acquisition corp.,stratim cloud acquisition
10533,general agriculture corp,general agriculture
10534,orion biotech opportunities corp.,orion biotech opportunities
10535,phi inc,phi
10536,onepower systems ltd.,onepower systems
10537,"mobileiron, inc.",mobileiron
10538,"american realty capital trust iii, inc.",american realty capital trust iii
10540,"rocket pharmaceuticals, inc.",rocket pharmaceuticals
10541,"rangeford resources, inc.",rangeford resources
10542,koppers holdings inc.,koppers holdings
10543,"gamco investors, inc. et al","gamco investors, inc. et al"
10544,almost never films inc.,almost never films
10545,fastenal co,fastenal
10546,"lantronix, inc.",lantronix
10547,"foundation healthcare, inc.",foundation healthcare
10548,genufood energy enzymes corp.,genufood energy enzymes
10549,permex petroleum corporation,permex petroleum
10550,"ivoiceideas, inc.",ivoiceideas
10551,adeptus health inc.,adeptus health
10552,"altegris qim futures fund, l.p.",altegris qim futures fund
10553,"victory oilfield tech, inc.",victory oilfield tech
10554,american scientific resources inc,american scientific resources
10555,"well-being holdings, inc.",well-being holdings
10556,instructure inc,instructure
10557,"revolution lighting technologies, inc.",revolution lighting technologies
10558,"phaserx, inc.",phaserx
10559,safeway inc,safeway
10560,"automatic data processing, inc.",automatic data processing
10561,mb financial inc /md,mb financial inc /md
10562,appleton papers inc/wi,appleton papers inc/wi
10563,"ciig capital partners ii, inc.",ciig capital partners ii
10564,"klx energy services holdings, inc.",klx energy services holdings
10565,transuite.org inc.,transuite.org
10566,"armata pharmaceuticals, inc.",armata pharmaceuticals
10568,the odp corporation,the odp
10569,kemiao garment holding group,kemiao garment holding group
10571,old line bancshares inc,old line bancshares
10572,ninetowns internet technology group co ltd,ninetowns internet technology group co
10573,real estate associates limited iv,real estate associates limited iv
10574,"sunshine bancorp, inc.",sunshine bancorp
10576,asia interactive media inc.,asia interactive media
10577,"match group, inc.",match group
10578,"aveo pharmaceuticals, inc.",aveo pharmaceuticals
10579,pcs edventures com inc,pcs edventures com
10581,sibanye stillwater limited,sibanye stillwater limited
10583,"enterprise bancorp, inc.",enterprise bancorp
10584,communitycorp,community
10585,"newpark resources, inc.",newpark resources
10586,monopar therapeutics inc.,monopar therapeutics
10587,itt educational services inc,itt educational services
10588,monetiva inc.,monetiva
10589,"south jersey industries, inc.",south jersey industries
10590,"zendesk, inc.",zendesk
10591,"cogent biosciences, inc.",cogent biosciences
10592,"matinas biopharma holdings, inc.",matinas biopharma holdings
10593,"intcomex, inc.",intcomex
10594,wyeth,wyeth
10595,dkg capital inc.,dkg capital
10596,"kit digital, inc.",kit digital
10597,"northsight capital, inc.",northsight capital
10598,"alterola biotech, inc.",alterola biotech
10599,"blacksands petroleum, inc.",blacksands petroleum
10600,williams partners l.p.,williams partners
10601,60 east 42nd street associates l.l.c.,60 east 42nd street associates l.l.
10602,cellebrite di ltd.,cellebrite di
10603,hydromer inc,hydromer
10604,"telenav, inc.",telenav
